A	Column1	0	0	1	120	90	0	1
A	Column2	0	0	122	241	90	0	122
A	Column3	0	0	243	362	90	0	243
A	Column4	0	0	364	483	90	0	364
A	Column5	0	0	485	604	90	0	485
A	Column6	0	0	606	725	90	0	606
A	Column7	0	0	727	846	90	0	727
A	Column8	0	0	848	967	90	0	848
A	Column9	0	0	969	1088	90	0	969
A	Column10	0	0	1090	1209	90	0	1090
A	Column11	0	0	1211	1330	90	0	1211
A	Column12	0	0	1332	1451	90	0	1332
A	Column13	0	0	1453	1572	90	0	1453
A	Column14	0	0	1574	1693	90	0	1574
A	Column15	0	0	1695	1814	90	0	1695
A	Column16	0	0	1816	1935	90	0	1816
A	Column17	0	0	1937	2056	90	0	1937
A	Column18	0	0	2058	2177	90	0	2058
A	Column19	0	0	2179	2298	90	0	2179
A	Column20	0	0	2300	2419	90	0	2300
A	Column21	0	0	2421	2540	90	0	2421
A	Column22	0	0	2542	2661	90	0	2542
A	Column23	0	0	2663	2782	90	0	2663
A	Column24	0	0	2784	2903	90	0	2784
A	Column25	0	0	2905	3024	90	0	2905
A	Column26	0	0	3026	3145	90	0	3026
A	Column27	0	0	3147	3266	90	0	3147
A	Column28	0	0	3268	3387	90	0	3268
A	Column29	0	0	3389	3508	90	0	3389
A	Column30	0	0	3510	3629	90	0	3510
A	Column31	0	0	3631	3750	90	0	3631
A	Column32	0	0	3752	3871	90	0	3752
A	Column33	0	0	3873	3992	90	0	3873
A	Column34	0	0	3994	4113	90	0	3994
A	Column35	0	0	4115	4234	90	0	4115
A	Column36	0	0	4236	4355	90	0	4236
A	Column37	0	0	4357	4476	90	0	4357
A	Column38	0	0	4478	4597	90	0	4478
A	Column39	0	0	4599	4718	90	0	4599
A	Column40	0	0	4720	4839	90	0	4720
A	Column41	0	0	4841	4960	90	0	4841
A	Column42	0	0	4962	5081	90	0	4962
A	Column43	0	0	5083	5202	90	0	5083
A	Column44	0	0	5204	5323	90	0	5204
A	Column45	0	0	5325	5444	90	0	5325
A	Column46	0	0	5446	5565	90	0	5446
A	Column47	0	0	5567	5686	90	0	5567
A	Column48	0	0	5688	5807	90	0	5688
A	Column49	0	0	5809	5928	90	0	5809
A	Column50	0	0	5930	6049	90	0	5930
A	Column51	0	0	6051	6170	90	0	6051
A	Column52	0	0	6172	6291	90	0	6172
A	Column53	0	0	6293	6412	90	0	6293
A	Column54	0	0	6414	6533	90	0	6414
A	Column55	0	0	6535	6654	90	0	6535
A	Column56	0	0	6656	6775	90	0	6656
A	Column57	121	121	1	120	90	121	1
A	Column58	121	121	122	241	90	121	122
A	Column59	121	121	243	362	90	121	243
A	Column60	121	121	364	483	90	121	364
A	Column61	121	121	485	604	90	121	485
A	Column62	121	121	606	725	90	121	606
A	Column63	121	121	727	846	90	121	727
A	Column64	121	121	848	967	90	121	848
A	Column65	121	121	969	1088	90	121	969
A	Column66	121	121	1090	1209	90	121	1090
A	Column67	121	121	1211	1330	90	121	1211
A	Column68	121	121	1332	1451	90	121	1332
A	Column69	121	121	1453	1572	90	121	1453
A	Column70	121	121	1574	1693	90	121	1574
A	Column71	121	121	1695	1814	90	121	1695
A	Column72	121	121	1816	1935	90	121	1816
A	Column73	121	121	1937	2056	90	121	1937
A	Column74	121	121	2058	2177	90	121	2058
A	Column75	121	121	2179	2298	90	121	2179
A	Column76	121	121	2300	2419	90	121	2300
A	Column77	121	121	2421	2540	90	121	2421
A	Column78	121	121	2542	2661	90	121	2542
A	Column79	121	121	2663	2782	90	121	2663
A	Column80	121	121	2784	2903	90	121	2784
A	Column81	121	121	2905	3024	90	121	2905
A	Column82	121	121	3026	3145	90	121	3026
A	Column83	121	121	3147	3266	90	121	3147
A	Column84	121	121	3268	3387	90	121	3268
A	Column85	121	121	3389	3508	90	121	3389
A	Column86	121	121	3510	3629	90	121	3510
A	Column87	121	121	3631	3750	90	121	3631
A	Column88	121	121	3752	3871	90	121	3752
A	Column89	121	121	3873	3992	90	121	3873
A	Column90	121	121	3994	4113	90	121	3994
A	Column91	121	121	4115	4234	90	121	4115
A	Column92	121	121	4236	4355	90	121	4236
A	Column93	121	121	4357	4476	90	121	4357
A	Column94	121	121	4478	4597	90	121	4478
A	Column95	121	121	4599	4718	90	121	4599
A	Column96	121	121	4720	4839	90	121	4720
A	Column97	121	121	4841	4960	90	121	4841
A	Column98	121	121	4962	5081	90	121	4962
A	Column99	121	121	5083	5202	90	121	5083
A	Column100	121	121	5204	5323	90	121	5204
A	Column101	121	121	5325	5444	90	121	5325
A	Column102	121	121	5446	5565	90	121	5446
A	Column103	121	121	5567	5686	90	121	5567
A	Column104	121	121	5688	5807	90	121	5688
A	Column105	121	121	5809	5928	90	121	5809
A	Column106	121	121	5930	6049	90	121	5930
A	Column107	121	121	6051	6170	90	121	6051
A	Column108	121	121	6172	6291	90	121	6172
A	Column109	121	121	6293	6412	90	121	6293
A	Column110	121	121	6414	6533	90	121	6414
A	Column111	121	121	6535	6654	90	121	6535
A	Column112	121	121	6656	6775	90	121	6656
A	Column113	242	242	1	120	90	242	1
A	Column114	242	242	122	241	90	242	122
A	Column115	242	242	243	362	90	242	243
A	Column116	242	242	364	483	90	242	364
A	Column117	242	242	485	604	90	242	485
A	Column118	242	242	606	725	90	242	606
A	Column119	242	242	727	846	90	242	727
A	Column120	242	242	848	967	90	242	848
A	Column121	242	242	969	1088	90	242	969
A	Column122	242	242	1090	1209	90	242	1090
A	Column123	242	242	1211	1330	90	242	1211
A	Column124	242	242	1332	1451	90	242	1332
A	Column125	242	242	1453	1572	90	242	1453
